Metric,K,pre_length,post_length,label_thr,训练集,测试集,p90_thr,p90_re,p80_thr,p80_re,p70_thr,p70_re,p60_thr,p60_re,F1_score
euclidean,50,30,10,1.05,20230101-20241231,20250101-20250430,1.1225,0.00016,1.0895,0.004279,1.06019,0.08576,1.04957,0.184526749,0.62
manhattan,50,30,10,1.05,20230101-20241231,20250101-20250430,1.12075,0.00049,1.12075,0.00049,1.06159,0.0627,1.05065,0.1495,0.6
cosine_similarity,50,30,10,1.05,20230101-20241231,20250101-20250430,1.11,0.0023,1.07985,0.0128,1.06476,0.04988,1.04957,0.18156,0.61
dtw,100,30,10,1.05,20230101-20241231随机采样了100000,20250101-20250430，随机1000个,1.0873,0.024,1.08,0.042,1.06,0.123,1.045,0.4,0.68
euclidean,50,30,10,1.1,20230101-20241231,20250101-20250430,1.12,0.0006,1.12,0.0006,1.12,0.0006,1.0987,0.0066,0.72
manhattan,50,30,10,1.1,20230101-20241231,20250101-20250430,1.12,0.0018,1.12,0.0018,1.12,0.0018,1.09,0.012,0.7
cosine_similarity,50,30,10,1.1,20230101-20241231,20250101-20250430,1.121,0.0024,1.12,0.0024,1.099,0.015,1.084,0.0265,0.72
dtw,100,30,10,1.1,20230101-20241231随机采样了100000,20250101-20250430，随机1000个,1.117,0,1.117,0,1.117,0,1.111,0,0.8
euclidean,50,30,5,1.05,20230101-20241231,20250101-20250430,1.091,0.00018,1.08,0.00054,1.0509,0.019,1.0446,0.04,0.65
manhattan,50,30,5,1.05,20230101-20241231,20250101-20250430,1.0924,0,1.0924,0,1.076,0.0009,1.043,0.043,0.63
cosine_similarity,50,30,5,1.05,20230101-20241231,20250101-20250430,1.086,0.0007,1.086,0.0009,1.058,0.0112,1.0478,0.026,0.65
dtw,100,30,5,1.05,20230101-20241231随机采样了100000,20250101-20250430，随机1000个,1.072,0.004,1.067,0.012,1.057,0.04,1.052,0.048,0.66
